study	year	pubmed_link	first_author	last_author	animal_species	animal_strain	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	infection_route	treatment_route	vehicle	control_compound	compound	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_days_to_endpoint	treatment_sd	treatment_sem	treatment_n	control_days_to_endpoint	control_sd	control_n	delay	reported_p	eyeballed	comments
Leidel 2011	2011		Leidel	Groschup	mice	C57BL/6					RML				i.c.	i.p.	100% dmso	100% dmso	DPP-1	100 ug/day		5.0	28.4	90	110	survival	174.0	3.8			160.0	4.1		0.09	0.01	0	
Leidel 2011	2011		Leidel	Groschup	mice		Tga20	Fischer 1996	wt	10	RML				i.p.	i.p.	70% dmso	70% dmso	DPP-1	100 ug/day		5.0	28.4	90	146	survival	149.0	3.0			112.0	6.6		0.33	0.05	0	treatment start date is never stated; presumably same as 'primary efficiency test' which was 90dpi
Leidel 2011	2011		Leidel	Groschup	mice		Tga20	Fischer 1996	wt	10	RML				i.p.	oral	0.9% NaCl	0.9% NaCl	DPP-1	500 ug/day		25.0	141.9	14	death	survival	155.0	10.0			113.0	6.4		0.37	0.05	0	
Leidel 2011	2011		Leidel	Groschup	mice	C57BL/6					RML				i.p.	oral	0.9% NaCl	0.9% NaCl	DPP-1	500 ug/day		25.0	141.9	-14	death	survival	212.0	1.8			192.0	0.5		0.10	0.01	0	
Kocisko 2004	2004	cited by Leidel - look this up																																			
Geissen 2011	2011		Geissen	Groschup	mice	C57/6			wt	1	RML		0.1	50	i.c.	i.p.	100% dmso	100% dmso	S9	5 mg/kg/day		5.0	28.4	90	110	survival	173.8	8.6		4.0	157.6	4.9	10	0.10	0.05	0	
Geissen 2011	2011		Geissen	Groschup	mice	C57/6			wt	1	RML		0.1	50	i.c.	i.p.	100% dmso	100% dmso	S14	5 mg/kg/day		5.0	28.4	90	110	survival	170.3	3.8		4.0	157.6	4.9	10	0.08	0.005	0	
Eiden 2012	2012		Eiden	Groschup	mice	C57BL/6			wt	1	RML		0.01	30	i.c.	oral	water	water	Scutellaria lateriflora	30 g herbs / 1 L water				-14	death	survival	184.0	26.7		6	147.0	3.1	6	0.25	0.01	0	
Eiden 2012	2012		Eiden	Groschup	mice	C57BL/6			wt	1	RML		0.01	50	i.p.	oral	water	water	Scutellaria lateriflora	30 g herbs / 1 L water				-14	death	survival	206.0	8.6		6	191.0	8.6	6	0.08	0.05	0	
Chung 2011	2011		Chung	Wisniewski	mice	CD-1			wt	1	139A	60	0.01	100	i.p.	i.p.	pbs	pbs	styryl #23I	10 mg/kg/day		10.0	56.8	0	30	survival	202.0			25.0	170		25	0.19	0.0001	0	
Chung 2011	2011		Chung	Wisniewski	mice	CD-1			wt	1	139A	60	0.01	100	i.p.	i.p.	pbs	pbs	styryl #59	10 mg/kg/day		10.0	56.8	0	30	survival	215.0			25.0	170		25	0.26	0.0001	0	
Chung 2011	2011		Chung	Wisniewski	mice	CD-1			wt	1	139A	60	0.01	100	i.p.	i.p.	pbs	pbs	trimipramine	10 mg/kg/day		10.0	56.8	0	death	survival	210.0			25.0	170		25	0.24	0.0001	0	
Chung 2011	2011		Chung	Wisniewski	mice	CD-1			wt	1	139A	60	0.01	100	i.p.	i.p.	pbs	pbs	fluphenazine	1 mg/kg/day		1.0	5.7	0	death	survival	205.0			25.0	170		25	0.21	0.0005	0	
Kawsaski 2007	2007	"also cites ""our previous experiments (14,15) - look these up."	Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.1% wt/wt in feed		150.0	851.4	0	death	survival	108.0	2.8		7.0	68.5	5.9	6	0.58	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.13% wt/wt in feed		225.0	1277.0	0	death	survival	120.5	10.7		6.0	68.5	5.9	6	0.76	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	death	survival	154.3	19.9		6.0	68.5	5.9	6	1.25	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	death	survival	174.5	7.6		6.0	63.0	1.8	10	1.77	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	35	death	survival	117.2	7.0		9.0	63.0	1.8	10	0.86	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	49	death	survival	88.7	17.3		11.0	63.0	1.8	10	0.41	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	14	survival	102.1	2.9		9.0	63.0	1.8	10	0.62	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	35	survival	120.2	5.2		9.0	63.0	1.8	10	0.91	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	70	survival	142.5	7.8		8.0	63.0	1.8	10	1.26	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	22L	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	death	survival	126.3	10.3		6.0	96.3	5.9	6	0.31	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tga20	Fischer 1996	wt	10	Fukuoka-1	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	death	survival	142.2	21.0		5.0	101.6	12.1	8	0.40	0.01	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	death	survival	52.7	2.8		11.0	48.0	3.0	6	0.10	0.05	0	
Kawsaski 2007	2007		Kawasaki	Doh-Ura	mice	ICR			wt	1	RML	35	0.01	20	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed		300.0	1702.7	0	187	survival	270.0			13.0	154.2	18.4	14	0.75	0.01	1	"It appears mice were not tracked past ~270 dpi.  7 of 13 treated mice were still alive at 270 dpi, making it approximately the median."
Kawsaski 2007	2007		Kawasaki	Doh-Ura	hamsters	Syrian			wt	1	263K	35	0.01	40	i.c.	oral	food	food	cpd-B	.2% wt/wt in feed				0	death	survival	107.0	2.5		6.0	97.4	6.9	7	0.10	0.05	0	
